"payroll_id","payment_date","employee_id","payment_salary","payment_bonus","payment_status"
"8405283","2022-08-16","4","3068.49","2339.00","Cleared"
"8405284","2022-08-17","8","3260.27","3193.00","Cleared"
"8405285","2022-08-19","3","6712.33","664.00","Cleared"
"8405286","2022-08-20","10","5561.64","3908.00","Cleared"
"8405287","2022-08-26","5","5139.73","1498.00","Cleared"
"8405288","2022-08-30","4","3068.49","3759.00","Cleared"
"8405289","2022-08-30","9","3068.49","4108.00","Cleared"
"8405290","2022-08-31","7","2493.15","1035.00","Cleared"
"8405291","2022-08-31","8","3260.27","652.00","Cleared"
"8405292","2022-09-01","1","1342.47","1196.00","Cleared"
"8405293","2022-09-02","3","6712.33","173.00","Cleared"
"8405294","2022-09-03","10","5561.64","1569.00","Cleared"
"8405295","2022-09-08","2","3260.27","4456.00","Cleared"
"8405296","2022-09-08","6","1150.68","3051.00","Cleared"
"8405297","2022-09-09","5","5139.73","3610.00","Cleared"
"8405298","2022-09-13","4","3068.49","2010.00","Cleared"
"8405299","2022-09-13","9","3068.49","3013.00","Cleared"
"8405300","2022-09-14","7","2493.15","535.00","Cleared"
"8405301","2022-09-14","8","3260.27","3564.00","Cleared"
"8405302","2022-09-15","1","1342.47","76.00","Cleared"
"8405303","2022-09-16","3","6712.33","1573.00","Cleared"
"8405304","2022-09-17","10","5561.64","1840.00","Cleared"
"8405305","2022-09-22","2","3260.27","3123.00","Cleared"
"8405306","2022-09-22","6","1150.68","3088.00","Cleared"
"8405307","2022-09-23","5","5139.73","3781.00","Cleared"
"8405308","2022-09-27","4","3068.49","4125.00","Cleared"
"8405309","2022-09-27","9","3068.49","698.00","Cleared"
"8405310","2022-09-28","7","2493.15","3286.00","Cleared"
"8405311","2022-09-28","8","3260.27","162.00","Cleared"
"8405312","2022-09-29","1","1342.47","1603.00","Cleared"
"8405313","2022-09-30","3","6712.33","3252.00","Cleared"
"8405314","2022-10-01","10","5561.64","255.00","Cleared"
"8405315","2022-10-06","2","3260.27","2995.00","Cleared"
"8405316","2022-10-06","6","1150.68","1316.00","Cleared"
"8405317","2022-10-07","5","5139.73","1469.00","Cleared"
"8405318","2022-10-11","4","3068.49","2763.00","Cleared"
"8405319","2022-10-11","9","3068.49","206.00","Cleared"
"8405320","2022-10-12","7","2493.15","1440.00","Cleared"
"8405321","2022-10-12","8","3260.27","2043.00","Cleared"
"8405322","2022-10-13","1","1342.47","3756.00","Cleared"
"8405323","2022-10-14","3","6712.33","1832.00","Cleared"
"8405324","2022-10-15","10","5561.64","3757.00","Cleared"
"8405325","2022-10-20","2","3260.27","824.00","Cleared"
"8405326","2022-10-20","6","1150.68","988.00","Cleared"
"8405327","2022-10-21","5","5139.73","4190.00","Cleared"
"8405328","2022-10-25","4","3068.49","452.00","Cleared"
"8405329","2022-10-25","9","3068.49","3769.00","Cleared"
"8405330","2022-10-26","7","2493.15","387.00","Cleared"
"8405331","2022-10-26","8","3260.27","123.00","Cleared"
"8405332","2022-10-27","1","1342.47","3762.00","Cleared"
"8405333","2022-10-28","3","6712.33","2098.00","Cleared"
"8405334","2022-10-29","10","5561.64","758.00","Cleared"
"8405335","2022-11-03","2","3260.27","2675.00","Cleared"
"8405336","2022-11-03","6","1150.68","672.00","Cleared"
"8405337","2022-11-04","5","5139.73","1915.00","Cleared"
"8405338","2022-11-08","4","3068.49","2282.00","Cleared"
"8405339","2022-11-08","9","3068.49","1496.00","Cleared"
"8405340","2022-11-09","7","2493.15","3894.00","Cleared"
"8405341","2022-11-09","8","3260.27","613.00","Cleared"
"8405342","2022-11-10","1","1342.47","3230.00","Cleared"
"8405343","2022-11-11","3","6712.33","2733.00","Cleared"
"8405344","2022-11-12","10","5561.64","4331.00","Cleared"
"8405345","2022-11-17","2","3260.27","1734.00","Cleared"
"8405346","2022-11-17","6","1150.68","1666.00","Cleared"
"8405347","2022-11-18","5","5139.73","1501.00","Cleared"
"8405348","2022-11-22","4","3068.49","1857.00","Pending Clearance"
"8405349","2022-11-22","9","3068.49","3018.00","Cleared"
"8405350","2022-11-23","7","2493.15","483.00","Pending Clearance"
"8405351","2022-11-23","8","3260.27","1957.00","Pending Clearance"
